impl,grid_size,num_threads,time
pth,1024,2,0.568471
pth,1024,2,0.560600
pth,1024,2,0.560942
pth,1024,2,0.556395
pth,1024,2,0.557045
pth,1024,2,0.573899
pth,1024,2,0.566948
pth,1024,2,0.557817
pth,1024,4,0.338155
pth,1024,4,0.355772
pth,1024,4,0.370175
pth,1024,4,0.367391
pth,1024,4,0.375789
pth,1024,4,0.358074
pth,1024,4,0.367146
pth,1024,4,0.366838
pth,1024,4,0.366545
pth,1024,4,0.367571
pth,1024,4,0.372523
pth,1024,4,0.373769
pth,1024,4,0.372135
pth,1024,4,0.367420
pth,1024,4,0.370525
pth,1024,8,0.394829
pth,1024,8,0.389901
pth,1024,8,0.402746
pth,1024,8,0.395952
pth,1024,8,0.390018
pth,1024,8,0.397780
pth,1024,8,0.394143
pth,1024,8,0.393759
pth,1024,8,0.393905
pth,1024,8,0.392213
pth,1024,8,0.391350
pth,1024,8,0.392856
pth,1024,8,0.392777
pth,1024,8,0.391259
pth,1024,8,0.394412
pth,1024,16,0.409574
pth,1024,16,0.401952
pth,1024,16,0.402468
pth,1024,16,0.407068
pth,1024,16,0.405828
pth,1024,16,0.403881
pth,1024,16,0.406447
pth,1024,16,0.402018
pth,1024,16,0.408613
pth,1024,16,0.409204
pth,1024,16,0.405795
pth,1024,16,0.402396
pth,1024,16,0.412183
pth,1024,16,0.404173
pth,1024,16,0.404436
pth,1024,32,0.426675
pth,1024,32,0.426893
pth,1024,32,0.428537
pth,1024,32,0.423675
pth,1024,32,0.431595
pth,1024,32,0.425916
pth,1024,32,0.427212
pth,1024,32,0.424383
pth,1024,32,0.425747
pth,1024,32,0.434472
pth,1024,32,0.427764
pth,1024,32,0.427886
pth,1024,32,0.422503
pth,1024,32,0.427084
pth,1024,32,0.426271
pth,2048,1,3.813723
pth,2048,1,3.687704
pth,2048,1,3.734781
pth,2048,1,3.678611
pth,2048,1,3.694649
pth,2048,1,3.680728
pth,2048,1,3.691616
pth,2048,1,3.681447
pth,2048,1,3.838516
pth,2048,1,3.919442
pth,2048,1,3.872204
pth,2048,1,3.737469
pth,2048,1,3.706550
pth,2048,1,3.703803
pth,2048,1,3.692089
pth,2048,2,2.186890
pth,2048,2,2.228195
pth,2048,2,2.242246
pth,2048,2,2.230031
pth,2048,2,2.230965
pth,2048,2,2.226354
pth,2048,2,2.225257
pth,2048,2,2.226196
pth,2048,2,2.239428
pth,2048,2,2.231785
pth,2048,2,2.227993
pth,2048,2,2.229226
pth,2048,2,2.227786
pth,2048,2,2.219718
pth,2048,2,2.224275
pth,2048,4,1.388966
pth,2048,4,1.430036
pth,2048,4,1.426362
pth,2048,4,1.437844
pth,2048,4,1.419976
pth,2048,4,1.418882
pth,2048,4,1.449436
pth,2048,4,1.492970
pth,2048,4,1.437400
pth,2048,4,1.416372
pth,2048,4,1.442272
pth,2048,4,1.431613
pth,2048,4,1.434098
pth,2048,4,1.423343
pth,2048,4,1.425088
pth,2048,8,1.529005
pth,2048,8,1.537588
pth,2048,8,1.543078
pth,2048,8,1.548774
pth,2048,8,1.541661
pth,2048,8,1.541317
pth,2048,8,1.537969
pth,2048,8,1.532596
pth,2048,8,1.540577
pth,2048,8,1.548146
pth,2048,8,1.548607
pth,2048,8,1.544674
pth,2048,8,1.542203
pth,2048,8,1.533842
pth,2048,8,1.551334
pth,2048,16,1.613290
pth,2048,16,1.626531
pth,2048,16,1.626984
pth,2048,16,1.613558
pth,2048,16,1.606454
pth,2048,16,1.615796
pth,2048,16,1.607160
pth,2048,16,1.610051
pth,2048,16,1.606159
pth,2048,16,1.617334
pth,2048,16,1.623728
pth,2048,16,1.616933
pth,2048,16,1.636951
pth,2048,16,1.617893
pth,2048,16,1.618501
pth,2048,32,1.601318
pth,2048,32,1.628792
pth,2048,32,1.604558
pth,2048,32,1.608791
pth,2048,32,1.736488
pth,2048,32,1.611238
pth,2048,32,1.619378
pth,2048,32,1.611901
pth,2048,32,1.609453
pth,2048,32,1.603467
pth,2048,32,1.603264
pth,2048,32,1.609672
pth,2048,32,1.615594
pth,2048,32,1.608451
pth,2048,32,1.611509
pth,4096,1,14.720212
pth,4096,1,14.653426
pth,4096,1,14.600856
pth,4096,1,14.668166
pth,4096,1,14.609207
pth,4096,1,14.623912
pth,4096,1,14.589974
pth,4096,1,14.597272
pth,4096,1,14.598389
pth,4096,1,14.623126
pth,4096,1,14.686443
pth,4096,1,14.610517
pth,4096,1,14.612908
pth,4096,1,14.619413
pth,4096,1,14.558790
pth,4096,2,8.857252
pth,4096,2,8.997964
pth,4096,2,9.027664
pth,4096,2,8.851890
pth,4096,2,8.865038
pth,4096,2,8.861236
pth,4096,2,9.130146
pth,4096,2,9.042639
pth,4096,2,8.885864
pth,4096,2,8.885334
pth,4096,2,8.847604
pth,4096,2,8.995647
pth,4096,2,9.047328
pth,4096,2,9.000745
pth,4096,2,8.834220
pth,4096,4,5.616562
pth,4096,4,9.404871
pth,4096,4,5.804644
pth,4096,4,5.622482
pth,4096,4,5.644153
pth,4096,4,6.000554
pth,4096,4,5.899542
pth,4096,4,5.827484
pth,4096,4,5.787630
pth,4096,4,5.824420
pth,4096,4,5.862555
pth,4096,4,5.803557
pth,4096,4,5.768092
pth,4096,4,5.776727
pth,4096,4,5.813686
pth,4096,8,6.364399
pth,4096,8,6.285536
pth,4096,8,6.256187
pth,4096,8,6.277403
pth,4096,8,6.250577
pth,4096,8,6.279806
pth,4096,8,6.310429
pth,4096,8,6.279536
pth,4096,8,6.269598
pth,4096,8,6.275781
pth,4096,8,6.341663
pth,4096,8,6.269900
pth,4096,8,6.292486
pth,4096,8,6.260617
pth,4096,8,6.273755
pth,4096,16,6.457093
pth,4096,16,6.435418
pth,4096,16,6.454459
pth,4096,16,6.436525
pth,4096,16,6.462291
pth,4096,16,6.479321
pth,4096,16,6.424593
pth,4096,16,6.417724
pth,4096,16,6.499445
pth,4096,16,6.440111
pth,4096,16,6.482148
pth,4096,16,6.448711
pth,4096,16,6.446961
pth,4096,16,6.475105
pth,4096,16,6.459900
pth,4096,32,6.374613
pth,4096,32,6.251846
pth,4096,32,6.227115
pth,4096,32,6.250757
pth,4096,32,6.242460
pth,4096,32,6.215356
pth,4096,32,6.227532
pth,4096,32,6.210700
pth,4096,32,6.388673
pth,4096,32,6.384208
pth,4096,32,6.443418
pth,4096,32,6.202269
pth,4096,32,6.171360
pth,4096,32,6.206624
pth,4096,32,6.189039
omp,32,1,0.001219
omp,32,1,0.001207
omp,32,1,0.001215
omp,32,1,0.001207
omp,32,1,0.001206
omp,32,1,0.001317
omp,32,1,0.001205
omp,32,1,0.001214
omp,32,1,0.001219
omp,32,1,0.001207
omp,32,1,0.001260
omp,32,1,0.001207
omp,32,1,0.001216
omp,32,1,0.001233
omp,32,1,0.001159
omp,32,2,0.000729
omp,32,2,0.000735
omp,32,2,0.000729
omp,32,2,0.000741
omp,32,2,0.000731
omp,32,2,0.000752
omp,32,2,0.000730
omp,32,2,0.000755
omp,32,2,0.000729
omp,32,2,0.000731
omp,32,2,0.000731
omp,32,2,0.000739
omp,32,2,0.000702
omp,32,2,0.000732
omp,32,2,0.000731
omp,32,4,0.000498
omp,32,4,0.000504
omp,32,4,0.000510
omp,32,4,0.000484
omp,32,4,0.000471
omp,32,4,0.000485
omp,32,4,0.000475
omp,32,4,0.000475
omp,32,4,0.000495
omp,32,4,0.000597
omp,32,4,0.000488
omp,32,4,0.000467
omp,32,4,0.000493
omp,32,4,0.000494
omp,32,4,0.000472
omp,32,8,0.000539
omp,32,8,0.000540
omp,32,8,0.000536
omp,32,8,0.000543
omp,32,8,0.000540
omp,32,8,0.000547
omp,32,8,0.000540
omp,32,8,0.000613
omp,32,8,0.000543
omp,32,8,0.000538
omp,32,8,0.000536
omp,32,8,0.000762
omp,32,8,0.000542
omp,32,8,0.000533
omp,32,8,0.000555
omp,32,16,0.003675
omp,32,16,0.003593
omp,32,16,0.003743
omp,32,16,0.003709
omp,32,16,0.003582
omp,32,16,0.003521
omp,32,16,0.003581
omp,32,16,0.003607
omp,32,16,0.003573
omp,32,16,0.003532
omp,32,16,0.003515
omp,32,16,0.003422
omp,32,16,0.003599
omp,32,16,0.003545
omp,32,16,0.003565
omp,32,32,0.006952
omp,32,32,0.007246
omp,32,32,0.006961
omp,32,32,0.006919
omp,32,32,0.006990
omp,32,32,0.007152
omp,32,32,0.007104
omp,32,32,0.007049
omp,32,32,0.007306
omp,32,32,0.006989
omp,32,32,0.006998
omp,32,32,0.007181
omp,32,32,0.007329
omp,32,32,0.007056
omp,32,32,0.007454
omp,64,1,0.005022
omp,64,1,0.004384
omp,64,1,0.004404
omp,64,1,0.004215
omp,64,1,0.004246
omp,64,1,0.004248
omp,64,1,0.004211
omp,64,1,0.004211
omp,64,1,0.004214
omp,64,1,0.004220
omp,64,1,0.004080
omp,64,1,0.004095
omp,64,1,0.004057
omp,64,1,0.004038
omp,64,1,0.004150
omp,64,2,0.002179
omp,64,2,0.002153
omp,64,2,0.002150
omp,64,2,0.002149
omp,64,2,0.002184
omp,64,2,0.002173
omp,64,2,0.002165
omp,64,2,0.002128
omp,64,2,0.002082
omp,64,2,0.002107
omp,64,2,0.002129
omp,64,2,0.002100
omp,64,2,0.002078
omp,64,2,0.002085
omp,64,2,0.002123
omp,64,4,0.001205
omp,64,4,0.001174
omp,64,4,0.001167
omp,64,4,0.001170
omp,64,4,0.001178
omp,64,4,0.001185
omp,64,4,0.001167
omp,64,4,0.001209
omp,64,4,0.001175
omp,64,4,0.001168
omp,64,4,0.001167
omp,64,4,0.001234
omp,64,4,0.001205
omp,64,4,0.001169
omp,64,4,0.001209
omp,64,8,0.001228
omp,64,8,0.001203
omp,64,8,0.001232
omp,64,8,0.001206
omp,64,8,0.001200
omp,64,8,0.001290
omp,64,8,0.001204
omp,64,8,0.001226
omp,64,8,0.001212
omp,64,8,0.001202
omp,64,8,0.001212
omp,64,8,0.001216
omp,64,8,0.001255
omp,64,8,0.001203
omp,64,8,0.001441
omp,64,16,0.004250
omp,64,16,0.004174
omp,64,16,0.004146
omp,64,16,0.004201
omp,64,16,0.004077
omp,64,16,0.004132
omp,64,16,0.004113
omp,64,16,0.004352
omp,64,16,0.004342
omp,64,16,0.004351
omp,64,16,0.004255
omp,64,16,0.004322
omp,64,16,0.004370
omp,64,16,0.004223
omp,64,16,0.004308
omp,64,32,0.007334
omp,64,32,0.007590
omp,64,32,0.007352
omp,64,32,0.007641
omp,64,32,0.007588
omp,64,32,0.007490
omp,64,32,0.007506
omp,64,32,0.007667
omp,64,32,0.007862
omp,64,32,0.007766
omp,64,32,0.007708
omp,64,32,0.007929
omp,64,32,0.007659
omp,64,32,0.008117
omp,64,32,0.007931
omp,128,1,0.018099
omp,128,1,0.016524
omp,128,1,0.016161
omp,128,1,0.016242
omp,128,1,0.015636
omp,128,1,0.015670
omp,128,1,0.015449
omp,128,1,0.015153
omp,128,1,0.015136
omp,128,1,0.014979
omp,128,1,0.014668
omp,128,1,0.014553
omp,128,1,0.014513
omp,128,1,0.014431
omp,128,1,0.014083
omp,128,2,0.007179
omp,128,2,0.007246
omp,128,2,0.007209
omp,128,2,0.007247
omp,128,2,0.007263
omp,128,2,0.007278
omp,128,2,0.007239
omp,128,2,0.007229
omp,128,2,0.007244
omp,128,2,0.007243
omp,128,2,0.007180
omp,128,2,0.007261
omp,128,2,0.007234
omp,128,2,0.007197
omp,128,2,0.007212
omp,128,4,0.003736
omp,128,4,0.003836
omp,128,4,0.003839
omp,128,4,0.003713
omp,128,4,0.003838
omp,128,4,0.003881
omp,128,4,0.003979
omp,128,4,0.003830
omp,128,4,0.003962
omp,128,4,0.003924
omp,128,4,0.003994
omp,128,4,0.003851
omp,128,4,0.004120
omp,128,4,0.003988
omp,128,4,0.004079
omp,128,8,0.003946
omp,128,8,0.003940
omp,128,8,0.003980
omp,128,8,0.004018
omp,128,8,0.003960
omp,128,8,0.004313
omp,128,8,0.004166
omp,128,8,0.004066
omp,128,8,0.004083
omp,128,8,0.004078
omp,128,8,0.004190
omp,128,8,0.004235
omp,128,8,0.004190
omp,128,8,0.004081
omp,128,8,0.004107
omp,128,16,0.007864
omp,128,16,0.007878
omp,128,16,0.007887
omp,128,16,0.007743
omp,128,16,0.007717
omp,128,16,0.007663
omp,128,16,0.007632
omp,128,16,0.007721
omp,128,16,0.007924
omp,128,16,0.007849
omp,128,16,0.008233
omp,128,16,0.008181
omp,128,16,0.008403
omp,128,16,0.007969
omp,128,16,0.008128
omp,128,32,0.010984
omp,128,32,0.011136
omp,128,32,0.011004
omp,128,32,0.011282
omp,128,32,0.011073
omp,128,32,0.011607
omp,128,32,0.011232
omp,128,32,0.011542
omp,128,32,0.011475
omp,128,32,0.011351
omp,128,32,0.011497
omp,128,32,0.011454
omp,128,32,0.011518
omp,128,32,0.011357
omp,128,32,0.011451
omp,256,1,0.068976
omp,256,1,0.063541
omp,256,1,0.060581
omp,256,1,0.057991
omp,256,1,0.056212
omp,256,1,0.054516
omp,256,1,0.053259
omp,256,1,0.052205
omp,256,1,0.051810
omp,256,1,0.050308
omp,256,1,0.050540
omp,256,1,0.050112
omp,256,1,0.049907
omp,256,1,0.049816
omp,256,1,0.049749
omp,256,2,0.025228
omp,256,2,0.025166
omp,256,2,0.025566
omp,256,2,0.026003
omp,256,2,0.026197
omp,256,2,0.026926
omp,256,2,0.026967
omp,256,2,0.026892
omp,256,2,0.027254
omp,256,2,0.027720
